序号,1、Please select the option that best describes your experience with OpenRice:,2、Please select the option that best describes your experience with OpenRice:,3、Which feature(s) did you concern during your last visit?,4、Rank the following features according to your level of concern during your last visit.,"5、On a scale of 1 to 5, how likely are you to consider the following UI features when making a choice?—Restaurant Information (e.g. Introduction, Address, Opening Hours etc) ","5、User interface elements (price, images, menu)",5、Pricing,5、The Appealing images,5、The detailed menu,5、The comments from other users,5、The rating from other users,5、The discounts or promotions,5、The detailed food descriptions,"6、To what extent do you agree with the statement about your personalities? Use a scale of 1 to 5, where 1 indicates ""Strongly Disagree"" and 5 indicates ""Strongly Agree.""—Is depressed, blue","6、Is relaxed, handles stress well",6、Can be tense,6、Worries a lot,"6、Is emotionally stable, not easily upset",6、Can be moody,6、Remains calm in tense situations,6、Gets nervous hardly,7、What is your gender?,8、Which age group do you belong?,9、What is the highest degree or level of education you have completed?,10、What is your current employment status?,"11、On a scale of 5, how well your expectations were met after reviewing OpenRice.","12、On a scale from 1 to 5, how would you rate your recent experience after perusing OpenRice?",13、Please provide the name of the last restaurant you dined at?,总分
141,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,35 - 44,Bachelor's degree,Employed Part-Time,Satisfied,Normal,甘牌燒鵝,89
142,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Extremely Important,Moderately Important  ,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Normal,Normal,Female,15 - 24,Associate degree / Diploma,Employed Full-Time,Unsatisfied,Very Satisfied,沾仔記,78
143,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Normal,Normal,Male,25 - 34,Associate degree / Diploma,Employed Part-Time,Satisfied,Very Satisfied,周記點心,60
144,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Male,45 - 54,Primary school,Employed Part-Time,Unsatisfied,Satisfied,麥文記,89
145,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing→Detailed Menu",Not Important at All,Not Important at All,Not Important at All,Slightly Important,Not Important at All,Slightly Important,Moderately Important  ,Moderately Important  ,Moderately Important  ,Agree,Normal,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Normal,Male,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Satisfied,Satisfied,肥姐小食店,41
146,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Slightly Important,Not Important at All,Moderately Important  ,Not Important at All,Slightly Important,Not Important at All,Not Important at All,Not Important at All,Slightly Important,Agree,Normal,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Male,25 - 34,Master's degree,Employed Part-Time,Unsatisfied,Satisfied,車仔麵之家,54
147,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Appealing images→Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Female,45 - 54,Secondary school,Employed Part-Time,Very Unsatisfied,Normal,妹記大排檔,81
148,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Female,25 - 34,Bachelor's degree,Employed Full-Time,Satisfied,Very Satisfied,劉森記麵家,85
149,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Appealing images→Detailed Menu",Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Normal,Agree,Normal,Agree,Strongly Agree,Agree,Male,35 - 44,Bachelor's degree,Employed Part-Time,Satisfied,Very Satisfied,譚仔米線,80
150,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Pricing→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Not Important at All,Moderately Important  ,Moderately Important  ,Slightly Important,Slightly Important,Not Important at All,Not Important at All,Moderately Important  ,Moderately Important  ,Agree,Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Unsatisfied,Satisfied,富記粥品,58
151,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Detailed Menu→Comments from Other Users→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Very Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Normal,Agree,Agree,Agree,Strongly Agree,Male,35 - 44,Bachelor's degree,Employed Part-Time,Very Satisfied,Satisfied,瑞記咖啡,82
152,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Extremely Important,Very Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Agree,Female,55 - 64,Secondary school,Employed Part-Time,Very Unsatisfied,Very Satisfied,源記餐廳,77
153,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Rating→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Pricing→Appealing images",Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Strongly Agree,Normal,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Very Unsatisfied,Satisfied,富記粥品,82
154,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Appealing images→Detailed Menu→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Strongly Agree,Agree,Normal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Normal,蓮香居,82
155,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Male,55 - 64,Primary school,Employed Full-Time,Very Satisfied,Very Satisfied,裕興咖啡,87
156,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Detailed Menu→Pricing→Appealing images→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Slightly Important,Very Important,Not Important at All,Not Important at All,Not Important at All,Not Important at All,Not Important at All,Not Important at All,Not Important at All,Normal,Strongly Agree,Agree,Normal,Strongly Agree,Agree,Agree,Strongly Agree,Female,45 - 54,Primary school,Employed Part-Time,Normal,Normal,鳳城酒家,52
157,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Rating→Appealing images→Pricing",Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Normal,Agree,Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Unsatisfied,Very Unsatisfied,裕興咖啡,76
158,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users┋Food Descriptions,"Comments from Other Users→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Disagree,Strongly Disagree,Normal,Normal,Strongly Disagree,Strongly Disagree,Disagree,Normal,Female,35 - 44,Bachelor's degree,Seeking opportunities,Unsatisfied,Satisfied,興記菜館,60
159,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Moderately Important  ,Moderately Important  ,Very Important,Moderately Important  ,Slightly Important,Slightly Important,Moderately Important  ,Slightly Important,Agree,Agree,Agree,Agree,Normal,Normal,Normal,Strongly Agree,Male,25 - 34,Associate degree / Diploma,Employed Full-Time,Unsatisfied,Normal,蘭芳園,60
160,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Not Important at All,Very Important,Slightly Important,Slightly Important,Not Important at All,Very Important,Slightly Important,Not Important at All,Not Important at All,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Agree,Male,25 - 34,Associate degree / Diploma,Employed Full-Time,Normal,Normal,泰昌蛋塔,57
161,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing→Appealing images",Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,15 - 24,Associate degree / Diploma,Employed Part-Time,Satisfied,Very Unsatisfied,金華冰廳,76
162,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Rating→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu→Pricing",Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Unsatisfied,Normal,麥奀記,85
163,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Appealing images→Pricing→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Very Important,Moderately Important  ,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Agree,Agree,Normal,Agree,Agree,Normal,Agree,Strongly Agree,Male,15 - 24,Associate degree / Diploma,Employed Part-Time,Very Unsatisfied,Very Unsatisfied,新斗記,70
164,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Comments from Other Users→Pricing→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Not Important at All,Slightly Important,Not Important at All,Not Important at All,Slightly Important,Very Important,Not Important at All,Slightly Important,Not Important at All,Agree,Agree,Normal,Strongly Agree,Strongly Agree,Agree,Normal,Strongly Agree,Male,35 - 44,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Full-Time,Very Satisfied,Very Satisfied,周記點心,58
165,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images→Detailed Menu",Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Normal,Female,0 - 14,Secondary school,Student,Unsatisfied,Satisfied,麥文記,79
166,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Appealing images→Pricing",Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Normal,Agree,Female,0 - 14,Primary school,Student,Very Unsatisfied,Normal,源記餐廳,81
167,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Comments from Other Users→Detailed Menu→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Slightly Important,Slightly Important,Moderately Important  ,Slightly Important,Slightly Important,Very Important,Moderately Important  ,Not Important at All,Normal,Normal,Agree,Agree,Agree,Normal,Normal,Strongly Agree,Male,25 - 34,Associate degree / Diploma,Employed Full-Time,Satisfied,Very Satisfied,良記餐廳,61
168,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Very Important,Very Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Moderately Important  ,Extremely Important,Normal,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Normal,Normal,Female,55 - 64,Primary school,Employed Part-Time,Satisfied,Normal,坤記糕品,73
169,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Pricing→Comments from Other Users→Detailed Menu→Discounts or Promotions",Moderately Important  ,Very Important,Moderately Important  ,Extremely Important,Very Important,Moderately Important  ,Moderately Important  ,Extremely Important,Very Important,Normal,Agree,Normal,Agree,Agree,Agree,Agree,Strongly Agree,Male,15 - 24,Master's degree,Employed Full-Time,Satisfied,Satisfied,良記餐廳,73
170,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing",Moderately Important  ,Very Important,Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Moderately Important  ,Strongly Agree,Agree,Agree,Normal,Agree,Strongly Agree,Normal,Agree,Female,35 - 44,Master's degree,Employed Part-Time,Very Satisfied,Satisfied,甘の季節,77
171,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Extremely Important,Moderately Important  ,Very Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Normal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Normal,Agree,Female,45 - 54,Secondary school,Employed Part-Time,Satisfied,Satisfied,新香園,78
172,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Appealing images→Rating",Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Normal,Male,0 - 14,Primary school,Student,Very Unsatisfied,Satisfied,何洪記粥麵專家,78
173,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Detailed Menu→Pricing",Very Important,Very Important,Moderately Important  ,Very Important,Moderately Important  ,Very Important,Extremely Important,Very Important,Very Important,Strongly Agree,Normal,Normal,Agree,Agree,Agree,Agree,Agree,Female,0 - 14,Primary school,Student,Very Unsatisfied,Very Unsatisfied,強記美食,68
174,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Strongly Agree,Agree,Normal,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Male,45 - 54,Primary school,Employed Full-Time,Very Satisfied,Satisfied,新香園,82
175,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Very Important,Very Important,Slightly Important,Moderately Important  ,Moderately Important  ,Moderately Important  ,Not Important at All,Not Important at All,Moderately Important  ,Agree,Agree,Agree,Normal,Agree,Normal,Strongly Agree,Normal,Female,25 - 34,Master's degree,Employed Full-Time,Satisfied,Very Satisfied,周記點心,63
176,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Comments from Other Users→Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Very Important,Agree,Normal,Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Agree,Female,25 - 34,Associate degree / Diploma,Employed Full-Time,Unsatisfied,Satisfied,陸羽茶室,76
177,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Strongly Agree,Normal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Very Unsatisfied,Very Satisfied,勝香園,84
178,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Discounts or Promotions","(空)→Pricing→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Unsatisfied,Very Satisfied,甘の季節,83
179,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing→Detailed Menu",Moderately Important  ,Not Important at All,Not Important at All,Slightly Important,Slightly Important,Not Important at All,Slightly Important,Slightly Important,Very Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Normal,Normal,Disagree,Agree,Female,15 - 24,Associate degree / Diploma,Employed Part-Time,Very Unsatisfied,Very Satisfied,合益泰小食,41
180,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Appealing images→Comments from Other Users→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Male,0 - 14,Secondary school,Student,Normal,Satisfied,文記車仔麵,85
181,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Comments from Other Users→Pricing→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Very Important,Not Important at All,Disagree,Agree,Normal,Normal,Normal,Agree,Strongly Disagree,Strongly Disagree,Female,25 - 34,Associate degree / Diploma,Employed Part-Time,Unsatisfied,Normal,劉森記麵家,47
182,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Comments from Other Users→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Normal,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,25 - 34,Master's degree,Employed Part-Time,Very Unsatisfied,Very Satisfied,麥奀記,81
183,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Male,35 - 44,Master's degree,Employed Part-Time,Very Unsatisfied,Very Satisfied,譚仔米線,84
184,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Normal,Strongly Agree,Agree,Normal,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Female,15 - 24,Bachelor's degree,Employed Part-Time,Satisfied,Very Satisfied,鏞記酒家,80
185,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Pricing→Discounts or Promotions→Rating→Appealing images",Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Female,35 - 44,Associate degree / Diploma,Employed Part-Time,Unsatisfied,Very Unsatisfied,蓮香居,81
186,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Appealing images→Rating→Pricing",Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Strongly Agree,Agree,Normal,Normal,Agree,Normal,Strongly Agree,Strongly Agree,Male,15 - 24,Master's degree,Seeking opportunities,Unsatisfied,Very Unsatisfied,坤記糕品,73
187,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Moderately Important  ,Moderately Important  ,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Normal,Normal,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Male,25 - 34,Bachelor's degree,Seeking opportunities,Very Satisfied,Very Satisfied,華記小食,64
188,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Female,15 - 24,Bachelor's degree,Seeking opportunities,Very Satisfied,Normal,金華冰廳,85
